supply_id,supply_name,supply_type,supplier_name,is_council,supply_population,protozoa_barrier,bacteria_barrier,residual_disinfection,dwsp_lodged,supplier_notifications_received_for_maybe_or_is_unsafe_water,supplier_notifications_received_for_mav_exceedance,laboratory_notifications_received_for_bacterial_mav_exceedance,laboratory_notifications_received_for_chemical_mav_exceedance,aluminium_mav_exceeded,arsenic_mav_exceeded,chlorate_mav_exceeded,chlorine_mav_exceeded,disinfection_by_product_mav_exceeded,lead_mav_exceeded,manganese_mav_exceeded,temporary_consumer_advisory_issued_in_2023,long_term_consumer_advisory_active_in_2023,total_number_of_days_in_2023_in_which_consumer_advisory_is_active
TEK002,Te Karaka,Networked supply,Gisborne District Council,Yes,550,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HOO001,Hook/Waituna Rural,Networked supply,Waimate District Council,Yes,962,No,Yes,Yes,Yes,4,0,0,0,No,No,No,No,No,No,No,Yes,No,15
DEV004,Devich Road Limited,Water carrier supply,Devich Road Limited,No,,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00512,Aquaman Water Rescue,Water carrier service,Aquaman Water Rescue Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
NEW002,New Plymouth,Networked supply,New Plymouth District Council,Yes,66562,Yes,Yes,Yes,Yes,1,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00315,Taumarunui Hire Centre,Water carrier service,Taumarunui Hire Centre Limited,No,,Not Applicable,Not Applicable,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAU008,Hautope Water Scheme,Networked supply,Hautope Water Scheme Incorporated,No,50,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,1,0,No,No,No,No,No,No,No,Yes,Yes,43
BRY300,Bryans Beach,Networked supply,Bryans Beach Water Society Incorporated,No,25,Not Applicable,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00291,TEM Transport Ltd,Water carrier service,TEM Transport Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
GRO001,Grovetown School,Self-supplied building,Ministry of Education,No,73,No,No,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LAN003,"Lane Orchard, RSE Village",Networked supply,Mike Walmsley Limited,No,96,Yes,Yes,No,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MTC002,Mt Cheeseman Ski Field,Networked supply,Mount Cheeseman Ski Club Incorporated,No,290,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
PEM001,Pembroke School,Self-supplied building,Ministry of Education,No,51,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAT001,Tatuanui School,Self-supplied building,Ministry of Education,No,138,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WAH002,Waharau Regional Park,Networked supply,Auckland Council,Yes,400,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
GIS001,Gisborne,Networked supply,Gisborne District Council,Yes,39000,Yes,Yes,Yes,Yes,5,1,0,1,No,No,No,No,No,No,Yes,Yes,No,31
LOW002,Lower Waihao Rural,Networked supply,Waimate District Council,Yes,700,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OAK001,Oakura,Networked supply,New Plymouth District Council,Yes,2008,Yes,Yes,Yes,Yes,1,0,0,0,No,No,No,No,No,No,No,No,No,0
OKA001,Okarito,Networked supply,Okarito Community Water Supply,No,40,Yes,Yes,No,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ASH005,Ashburton Hospital,Self-supplied building,Canterbury District Health Board,No,200,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LEE002,Lee Stream School,Self-supplied building,Ministry of Education,No,40,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MTD001,Mt Dobson Skifield,Self-supplied building,Mount Dobson Ski Area Limited,No,280,Yes,No,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WAI078,Waianiwa School,Self-supplied building,Ministry of Education,No,75,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LAK027,Lakeside Soldiers Memorial Hall,Self-supplied building,Selwyn District Council,Yes,250,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
BLA001,Blackball,Networked supply,Grey District Council,Yes,280,Yes,Yes,Yes,Yes,2,0,0,0,No,No,No,No,No,No,No,Yes,Yes,154
WAI215,Waihemo,Networked supply,Waitaki District Council,Yes,1357,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OKA002,Okato,Networked supply,New Plymouth District Council,Yes,802,Yes,Yes,Yes,Yes,3,0,0,0,No,No,No,No,No,No,No,No,No,0
