As at date,Supplier Name,Supply_name,Region,Supplier type,Supply Population,Consumer Advisory Start Date,Consumer Advisory End Date,Consumer Advisory Category,Consumer Advisory Age in Days,Consumer Advisory Currently Active,Long term Advisory Notice,Advisory Active 2022 End of Year,Advisory Active 2023 End of Year
3/19/24,Department of Conservation,Aniwaniwa,Hawke’s Bay,Government,150,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Ministry of Education,Ashburton Borough School,Canterbury,Government,45,3/29/23,8/8/23,Do Not Drink,132,No,Yes,No,No
3/19/24,Department of Conservation,Aussie Bay Campsite,Marlborough,Government,40,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Waitaki District Council,Awahokomo,Canterbury,Council,21,10/19/23,,Boil Water,151,Yes,Yes,No,Yes
3/19/24,Waitaki District Council,Awamoko,Otago,Council,399,10/17/23,,Boil Water,153,Yes,Yes,No,Yes
3/19/24,Department of Conservation,Awaroa Campsite,Tasman,Government,250,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Marlborough District Council,Awatere,Marlborough,Council,"1,333",7/12/22,,Boil Water,615,Yes,Yes,Yes,Yes
3/19/24,Hurunui District Council,Balmoral Rural,Canterbury,Council,273,7/12/22,1/20/23,Boil Water,192,No,Yes,No,No
3/19/24,Department of Conservation,Bark Bay Campsite,Tasman,Government,250,7/18/22,,Boil Water,609,Yes,Yes,Yes,Yes
3/19/24,Grey District Council,Blackball,West Coast,Council,280,2/7/23,6/2/23,Boil Water,115,No,Yes,No,No
3/19/24,Waitaki District Council,Bushy Creek,Canterbury,Council,29,1/21/15,,Boil Water,"3,344",Yes,Yes,Yes,Yes
3/19/24,Department of Conservation,Camp Bay Campsite,Marlborough,Government,60,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Waimate District Council,Cannington/Motukaika Rural,Canterbury,Council,90,3/2/22,,Boil Water,747,Yes,Yes,Yes,Yes
3/19/24,Cardrona Limited,Cardrona Limited,Otago,Unknown,90,3/15/23,8/28/23,Boil Water,166,No,Yes,No,No
3/19/24,Department of Conservation,Cowshed Bay Campsite,Marlborough,Government,120,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Department of Conservation,Dawsons Falls Visitor Centre,Taranaki,Government,4,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Tasman District Council,Dovedale Rural,Tasman,Council,660,12/31/18,,Boil Water,"1,904",Yes,Yes,Yes,Yes
3/19/24,Timaru District Council,Downlands,Canterbury,Council,"4,550",12/15/21,10/6/23,Boil Water,661,No,Yes,No,No
3/19/24,Department of Conservation,Elaine Bay Campsite,Marlborough,Government,60,10/26/23,,Boil Water,144,Yes,Yes,No,Yes
3/19/24,Westland District Council,Fox Glacier,West Coast,Council,252,4/21/22,11/29/23,Boil Water,587,No,Yes,Yes,No
3/19/24,Department of Conservation,French Pass Camp,Marlborough,Government,48,6/16/22,,Boil Water,641,Yes,Yes,Yes,Yes
3/19/24,Clutha District Council,Glenkenich Rural,Otago,Council,705,1/10/22,3/7/22,Boil Water,56,No,Yes,No,No
3/19/24,Clutha District Council,Glenkenich Rural,Otago,Council,705,7/14/22,6/29/23,Boil Water,350,No,Yes,Yes,No
3/19/24,Glentui Private Community Water Supply Scheme Incorporated,Glentui Private Community Water Supply Scheme Incorporated,Canterbury,Unknown,72,1/1/23,,Boil Water,442,Yes,Yes,No,Yes
3/19/24,Grey District Council,Greater Greymouth,West Coast,Council,"8,320",2/7/23,,Boil Water,405,Yes,Yes,No,Yes
