(Do Not Modify) Consumer Advisory,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Consumer Advisory ID,Title,Consumer Advisory Category,Supply,Start Date and Time,End Date and Time,Status,Redacted
4095b3cc-d0dc-ed11-a7c7-002248930713,PcrVuOlXE2gnXqCc2b9f20P0s/1dV6fLZfDVh5x+aPnJpiPGRRc+nazlgMlVVx6TuGj5chfV/DriTfWQfgx2Ow==,29/05/2023 3:20,CA-00001346,Boil Water Advisory | Acheron,Boil Water,Acheron,15/04/2023 10:00,26/05/2023 20:00,Inactive,FALSE
5680b443-5a2e-ed11-9db1-002248933ae4,Atbr09kzHxdk24S3dKDNbAghn3bpdtl80AjoqnNN5/InkRan8l/St2mOvwhow+1MijOyKNJyafBa0tdcbDPmwg==,8/12/22 03:19,CA-00001222,Boil water advisory Acheron (Selwyn DC),Boil Water,Acheron,7/8/22 21:08,10/8/22 08:00,Inactive,FALSE
915f34d1-f8dc-ee11-904c-000d3ad07db0,AAxERiVIOCuLGOmSlaOrRj8DWAdjjUw2JJpXSWdD6VCaqkeIaZUQ8ZKcVCQxfeMiCphDVKL8bgNBgcBluotlsQ==,22/04/2024 4:16,CA-00001549,Do Not Drink | Ahipara School,Do Not Drink,Ahipara School,7/3/24 08:00,18/03/2024 8:00,Inactive,FALSE
a48171fd-f5bd-ed11-8400-000d3acb5a90,T0G/7K2ppJu834pX0Cz5Rk7Eo4gEKkDkz/rmhnt07bZ9S5hZC2XmiCzsb9MKEUOATgRph52nyfNfc/D6XXWnCQ==,31/07/2023 22:58,CA-00001326,Boil Water Advisory | Akitio,Boil Water,Akitio,8/3/23 13:00,15/03/2023 11:30,Inactive,FALSE
5b771adb-af71-ed11-81ab-000d3acb5a90,SeIZj5T2j1jvIH/GOv8ceCRR+RgUh6wbtdH3j/Z1i0wmMBq4GTFjsi8j9OOVTLBpi5eNv2zxbANkaYHxjpjIDQ==,19/05/2023 2:40,CA-00001272,Boil water advisory Allandale,Boil Water,Allandale,1/12/22 21:00,15/12/2022 21:00,Inactive,FALSE
0f79619a-99d4-ec11-a7b5-002248934a11,NqogfEnaMWjwYbm+dwVeOT6JLkOv6sPyLzxUDpfn+cAfLGelLa2AK865UhXLXCYy2TWfhNhA2H7V/okxK7ab+g==,8/12/22 01:10,CA-00001076,Temporary boil water advisory Aoraki / Mt Cook (Mackenzie DC),Boil Water,Aoraki/ Mt Cook,13/05/2022 12:48,20/06/2022 8:00,Inactive,FALSE
ff241b2f-6c77-ee11-8179-000d3acb5a90,bp8CKEOa3JoFqZbUoeZbExFSHigbzrO8AKf8DmfApfIWTuIPagW3zqaRpiObLjgZVlRpsGEUuCKOK6s9oPMPvA==,25/01/2024 3:37,CA-00001469,Boil Water Advisory | Aranga School,Boil Water,Aranga School,27/10/2023 21:00,3/11/23 21:00,Inactive,FALSE
ca7ed535-b0ac-ed11-83ff-000d3acb5a90,fsPf2htTw2Nf+gj5yQiu9rtJgy+cbiF/YK4F4c6viY7dGy7CNVjXG4FvOzhT0oYbEk0HHSh6H6Uck3n8qzO8cA==,27/06/2023 0:45,CA-00001309,Boil Water Advisory | Arthurs Pass (Selwyn DC),Boil Water,Arthur's Pass,5/2/23 21:00,10/2/23 21:00,Inactive,FALSE
e7a420af-e330-ee11-bdf3-00224810b565,DpTtDra8ju/d8fwLKn9VNQxIaO4mWd11EkesJURBKnZGo0aaUgyJE697tAGojq9d+ohl6kRaewOcpSJT2VuDOg==,25/08/2023 1:35,CA-00001395,Boil water notice | Ashley gorge,Boil Water,Ashley Gorge,2/8/23 20:00,25/08/2023 5:00,Inactive,FALSE
011d9f20-ec95-ec11-b400-00224812b7d6,XVF3DPz4mZCfjd2b5qVcXNMMdwjo77WCAGfF7u9R5VYF4nxi1AabA9FIreNa5ZWS94lVc906klKFcQ7UocGGgQ==,8/12/22 00:43,CA-00001023,Temporary Boil Water advisory Ashley Gorge (Waimakariri DC),Boil Water,Ashley Gorge,24/02/2022 8:00,24/03/2022 8:00,Inactive,FALSE
3b720a12-0a08-ef11-9f89-000d3acae4c5,MBtHHkXYw+6xl6WA4uyDEYymFXw2l6mvaJrV7W863T3c/m/d1JkPnvNercH7GdEHXfXHtnbQU5HbvQc/U/HJhA==,1/5/24 22:28,CA-00001572,Do not Drink | Awanui School,Do Not Drink,Awanui School,7/3/24 08:00,8/4/24 08:00,Inactive,FALSE
65e19e18-ba84-ee11-8179-000d3acb5a90,h/9Gs98UqrVdSf6ZbRCRM0QegF8HcrU32XZzyL9PkInblu0fJrZ7/EcaPQm4KobpP9HTQBs6nS6MIR2zZOJK7Q==,5/2/24 01:15,CA-00001482,Do Not Drink Advisory | Awhitu School,Do Not Drink,Awhitu District School,9/11/23 08:00,20/11/2023 8:00,Inactive,FALSE
16500bb6-4f23-ed11-9db1-00224811ddc5,2xvNRcw3VtMuPsSlMfSIw0BfaOkx+DSa0bB6RPzLIVcVKpk7GyBHzfqXjHZpvzPEjTDA7t9P72q3ObRJu9S78Q==,5/12/22 02:33,CA-00001211,Do Not Use advisory for Planned water shutdown - Balclutha supply,Do Not Use,Balclutha,10/5/22 11:00,11/5/22 08:00,Inactive,FALSE
39c3895e-e571-ee11-8179-000d3acb5a90,SmXQP4AkgUDle6FBMReFqXfo5tIT0st14Ax7tkMGHX1JNUr25ZWlnNfGhQdi3ptGdB4axGiAyZg4hOjCR7uA4A==,30/10/2023 0:11,CA-00001426,Boil Water for Balmoral Rural,Boil Water,Balmoral Rural,18/10/2023 21:00,30/10/2023 21:00,Inactive,FALSE
